System time: Tue Jan 03 01:39:58 BDT 2023
Solved d-15-01.txt in 2453 ms
Total Nodes: 3656462
Backtracks: 1828178
9	6	8	7	2	15	11	3	13	1	4	10	5	12	14	
15	11	13	12	9	5	14	2	10	3	1	7	8	6	4	
4	15	10	13	3	6	1	11	8	12	5	14	2	7	9	
3	8	6	4	13	2	12	5	11	9	10	1	14	15	7	
7	2	11	6	1	14	13	10	4	8	12	9	3	5	15	
5	4	2	15	12	11	7	8	14	13	6	3	9	10	1	
1	9	12	10	8	13	5	4	3	2	15	11	7	14	6	
14	13	5	8	6	10	3	15	2	4	7	12	1	9	11	
12	5	3	9	4	7	6	14	15	10	8	13	11	1	2	
2	10	4	5	14	1	9	7	6	11	3	15	13	8	12	
11	1	14	3	7	12	8	9	5	15	2	6	4	13	10	
8	14	15	2	11	3	10	1	7	6	9	5	12	4	13	
13	12	9	11	5	4	15	6	1	7	14	2	10	3	8	
6	3	7	1	10	8	2	12	9	14	13	4	15	11	5	
10	7	1	14	15	9	4	13	12	5	11	8	6	2	3	
